X Y Z
125.758151 45.093748 2.000000
127.028354 51.029194 2.000000
118.857894 44.294661 2.000000
125.028521 47.246172 2.000000
124.527597 45.629568 2.000000
127.150194 50.515776 2.000000
124.643092 51.557824 2.000000
125.781528 45.592023 2.000000
125.419252 45.286952 2.000000
126.881351 48.007522 2.000000
123.625413 46.108311 2.000000
127.781624 47.681212 2.000000
122.762017 47.082199 2.000000
125.577928 49.228632 2.000000
125.152198 49.418563 2.000000
130.272943 46.900555 2.000000
122.245272 45.672282 2.000000
125.562938 51.494217 2.000000
123.307158 45.580631 2.000000
121.109556 50.046678 2.000000
125.745763 49.718063 2.000000
121.453471 48.778884 2.000000
123.733057 48.732266 2.000000
125.931286 48.740787 2.000000
125.287741 48.266437 2.000000
124.051358 49.951365 2.000000
118.746533 47.092286 2.000000
121.640882 46.128466 2.000000
122.159573 52.523724 2.000000
120.321507 50.937535 2.000000
117.803391 47.021945 2.000000
123.274259 49.779067 2.000000
124.853680 50.394242 2.000000
121.606825 46.620945 2.000000
125.160928 47.427987 2.000000
118.693941 44.595838 2.000000
119.695643 49.481082 2.000000
122.815277 50.054856 2.000000
121.039242 48.452919 2.000000
124.131771 47.043060 2.000000
123.559326 45.979222 2.000000
121.032838 46.813686 2.000000
118.468481 49.413717 2.000000
120.580793 47.984182 2.000000
123.365240 49.280194 2.000000
123.853155 47.639044 2.000000
120.520105 47.689245 2.000000
116.661997 43.581063 2.000000
117.688901 44.924560 2.000000
122.790323 45.193863 2.000000
120.390512 51.801885 2.000000
120.389208 50.110747 2.000000
118.591147 47.275787 2.000000
118.475934 46.869001 2.000000
123.779924 42.698139 2.000000
122.496271 48.587307 2.000000
119.343550 43.529926 2.000000
121.276389 46.273722 2.000000
121.692029 47.921756 2.000000
125.732337 47.132133 2.000000
117.790508 48.382127 2.000000
121.453990 51.915963 2.000000
123.233334 48.903013 2.000000
125.051909 44.260211 2.000000
118.675745 45.040872 2.000000
119.359571 43.684642 2.000000
122.367453 47.142232 2.000000
115.983581 44.756263 2.000000
121.269542 50.311480 2.000000
126.253193 56.532887 2.000000
121.440228 44.816886 2.000000
113.733861 48.582734 2.000000
117.625177 46.527728 2.000000
118.160710 47.345627 2.000000
123.128941 48.233446 2.000000
119.389095 44.649539 2.000000
114.773951 46.291776 2.000000
119.570652 53.048790 2.000000
120.055824 50.687519 2.000000
118.101113 44.178769 2.000000
116.636650 45.552222 2.000000
125.851409 45.258040 2.000000
121.915468 45.007718 2.000000
122.127719 48.865753 2.000000
118.797086 47.582912 2.000000
117.235637 49.037817 2.000000
117.769050 44.017183 2.000000
115.233187 48.206164 2.000000
123.738274 48.162775 2.000000
118.579085 48.534778 2.000000
122.786005 48.329848 2.000000
117.569218 50.985066 2.000000
120.021269 52.267968 2.000000
119.218703 43.981793 2.000000
114.497522 52.602484 2.000000
123.706997 47.105642 2.000000
117.320438 52.023133 2.000000
115.081863 44.949219 2.000000
120.266980 46.444185 2.000000
118.254634 47.132271 2.000000
119.216724 51.839646 2.000000
118.408755 49.543616 2.000000
111.920484 47.460345 2.000000
115.474309 43.944761 2.000000
115.303543 46.593530 2.000000
120.618708 43.611422 2.000000
117.896894 46.132792 2.000000
116.755981 50.588273 2.000000
119.286346 51.586994 2.000000
117.142483 45.481772 2.000000
116.867424 48.291890 2.000000
118.002720 44.306036 2.000000
117.677469 48.238785 2.000000
124.892422 53.179534 2.000000
114.713270 46.681750 2.000000
112.816674 45.766679 2.000000
118.086815 51.151261 2.000000
114.886748 45.566161 2.000000
110.565133 47.035602 2.000000
113.753757 45.930282 2.000000
114.243418 47.230812 2.000000
111.534815 43.107564 2.000000
123.128741 43.641432 2.000000
113.384643 53.009541 2.000000
125.324202 43.979200 2.000000
115.437253 48.513667 2.000000
121.662093 44.523629 2.000000
115.673166 49.811313 2.000000
117.647298 46.346032 2.000000
115.874531 43.345013 2.000000
115.495479 46.665838 2.000000
116.839510 45.794218 2.000000
117.491616 50.493647 2.000000
116.476288 48.506069 2.000000
116.103466 47.446353 2.000000
113.712326 48.390983 2.000000
115.519140 53.716405 2.000000
120.464065 48.589840 2.000000
113.388828 44.090466 2.000000
119.184429 48.211348 2.000000
116.985430 42.184842 2.000000
118.260315 48.777361 2.000000
112.079708 45.995026 2.000000
116.136152 47.562600 2.000000
114.401486 47.090335 2.000000
114.456068 47.854088 2.000000
119.559476 39.692025 2.000000
114.368449 47.917137 2.000000
115.899982 46.267556 2.000000
109.675835 48.362986 2.000000
120.061051 42.773116 2.000000
117.404484 46.384924 2.000000
114.562027 44.207604 2.000000
113.676631 51.262234 2.000000
116.360966 52.554835 2.000000
118.079236 48.671060 2.000000
119.711804 48.666679 2.000000
116.897965 46.455887 2.000000
114.546637 45.249329 2.000000
117.248752 43.802689 2.000000
116.561051 46.761647 2.000000
117.660741 49.582207 2.000000
119.542938 49.518024 2.000000
109.297879 47.120940 2.000000
110.431978 45.763060 2.000000
118.414685 49.226601 2.000000
111.718209 44.269048 2.000000
113.846346 43.656720 2.000000
111.667579 48.238728 2.000000
117.080936 49.125184 2.000000
106.674131 48.208300 2.000000
113.698101 48.533271 2.000000
118.263629 41.098185 2.000000
111.575690 49.057019 2.000000
108.537217 51.708547 2.000000
114.320070 49.816952 2.000000
111.436169 49.714991 2.000000
116.287415 47.968834 2.000000
113.719203 48.077730 2.000000
110.358964 46.820714 2.000000
112.425432 48.410082 2.000000
115.815473 44.080992 2.000000
112.373973 51.697567 2.000000
110.452235 44.783150 2.000000
113.222919 49.779856 2.000000
112.584278 51.230282 2.000000
115.053382 49.765660 2.000000
114.079350 54.220059 2.000000
111.734515 41.223433 2.000000
117.095763 45.857802 2.000000
112.540641 51.156452 2.000000
107.343221 43.469858 2.000000
107.280166 44.839391 2.000000
113.335910 48.791364 2.000000
112.778823 42.977602 2.000000
104.953690 47.376061 2.000000
110.401672 48.588257 2.000000
113.855861 47.622024 2.000000
113.964399 47.892134 2.000000
113.207194 45.087780 2.000000
111.012166 47.789428 2.000000
113.945585 46.015176 2.000000
112.980502 46.396184 2.000000
110.998373 49.679657 2.000000
105.304819 43.299183 2.000000
106.771444 40.185152 2.000000
109.116207 49.431802 2.000000
110.229348 47.774470 2.000000
114.285652 51.161658 2.000000
110.743586 51.236958 2.000000
111.160380 44.661705 2.000000
109.034799 42.729990 2.000000
108.086598 46.095250 2.000000
113.095755 52.329409 2.000000
106.471455 48.343382 2.000000
107.429368 48.586791 2.000000
110.091740 41.667883 2.000000
113.202891 45.343498 2.000000
108.749299 43.947143 2.000000
108.322150 48.438071 2.000000
109.650267 48.138486 2.000000
111.237766 51.112485 2.000000
109.056642 42.718027 2.000000
113.219667 46.152335 2.000000
113.295777 48.295131 2.000000
109.491587 48.189528 2.000000
115.671038 53.372442 2.000000
109.960143 47.620372 2.000000
112.913720 44.601117 2.000000
110.617211 47.058911 2.000000
110.493725 44.634794 2.000000
104.716298 40.914450 2.000000
106.065848 45.755874 2.000000
108.472425 52.942193 2.000000
112.602980 44.242827 2.000000
110.261125 45.906465 2.000000
108.298908 47.682377 2.000000
110.942513 46.107325 2.000000
112.210555 43.697985 2.000000
108.971017 54.915721 2.000000
109.554239 51.421144 2.000000
109.093561 48.862731 2.000000
108.581650 46.608077 2.000000
106.346553 48.409204 2.000000
106.064388 49.114056 2.000000
111.807861 48.215994 2.000000
107.626254 48.477397 2.000000
107.492981 49.921241 2.000000
102.857782 46.106978 2.000000
102.312564 42.627918 2.000000
112.310587 49.797855 2.000000
105.993559 42.604190 2.000000
99.191413 45.480513 2.000000
115.280245 48.415053 2.000000
106.273283 48.505141 2.000000
103.202125 46.217430 2.000000
108.117432 46.850698 2.000000
110.124418 48.142536 2.000000
109.689978 45.043083 2.000000
110.312446 51.994711 2.000000
104.641551 44.444513 2.000000
111.492353 46.533368 2.000000
111.630464 45.779593 2.000000
111.717137 47.501557 2.000000
108.059686 51.801154 2.000000
106.133689 44.283634 2.000000
105.806307 48.464002 2.000000
102.387723 49.019513 2.000000
105.402686 50.550638 2.000000
99.769219 44.747603 2.000000
101.825596 44.628812 2.000000
107.561998 46.570120 2.000000
105.991867 46.630545 2.000000
107.295165 44.082792 2.000000
108.739549 49.096798 2.000000
107.707114 48.778900 2.000000
107.374254 53.215020 2.000000
106.157717 46.189050 2.000000
104.091417 44.014112 2.000000
102.551585 44.445108 2.000000
106.006959 48.115085 2.000000
106.305426 44.816394 2.000000
108.785554 49.332038 2.000000
105.540055 45.155852 2.000000
107.597284 47.679421 2.000000
101.540618 46.912459 2.000000
106.605107 44.418316 2.000000
106.321530 42.754033 2.000000
109.693558 50.863450 2.000000
104.861448 48.211063 2.000000
98.322234 43.652857 2.000000
104.603663 43.906801 2.000000
107.562189 53.116390 2.000000
101.822156 44.613410 2.000000
105.991345 51.960548 2.000000
101.551877 47.875808 2.000000
110.615897 42.174923 2.000000
101.241792 45.860980 2.000000
103.457235 49.571204 2.000000
105.676979 41.810114 2.000000
106.432231 45.404183 2.000000
108.642342 45.255737 2.000000
102.842154 48.763795 2.000000
106.974779 48.486498 2.000000
99.562208 48.758303 2.000000
101.449076 47.852028 2.000000
100.214797 48.487166 2.000000
101.999203 43.302396 2.000000
106.493460 47.877434 2.000000
102.444070 51.508237 2.000000
102.897043 47.253223 2.000000
104.959740 45.300302 2.000000
105.499409 45.561243 2.000000
102.784085 51.252028 2.000000
100.831242 39.928159 2.000000
108.718811 54.817084 2.000000
102.603192 41.361186 2.000000
102.821548 46.315631 2.000000
103.116228 43.836836 2.000000
105.358683 48.753322 2.000000
99.069783 49.280190 2.000000
109.644055 47.701381 2.000000
102.408025 46.762390 2.000000
105.198770 41.999385 2.000000
103.780172 46.023108 2.000000
108.763475 46.675082 2.000000
108.156663 43.889478 2.000000
104.848778 48.162201 2.000000
100.412858 47.739388 2.000000
106.591557 46.239225 2.000000
97.811112 47.161312 2.000000
100.113731 46.190377 2.000000
102.509237 42.103943 2.000000
97.840025 48.670701 2.000000
101.052844 39.533867 2.000000
104.908532 48.048909 2.000000
100.346376 43.285109 2.000000
104.928424 48.287452 2.000000
109.502807 48.503866 2.000000
103.451109 46.746416 2.000000
104.671328 49.126456 2.000000
105.910175 45.691231 2.000000
100.781778 45.821990 2.000000
104.394405 51.758623 2.000000
100.578479 45.993479 2.000000
102.831232 46.534715 2.000000
104.678161 40.521068 2.000000
99.275885 44.933551 2.000000
94.727932 44.394385 2.000000
98.877532 46.686486 2.000000
104.894898 46.559218 2.000000
98.397559 47.128236 2.000000
104.570521 44.375924 2.000000
98.625275 48.984247 2.000000
100.625392 49.255954 2.000000
101.183060 49.423391 2.000000
98.051766 47.287046 2.000000
100.458930 43.680727 2.000000
96.333566 49.390747 2.000000
99.905143 44.271859 2.000000
100.602463 50.727957 2.000000
93.982786 42.859284 2.000000
97.989341 51.738037 2.000000
101.539761 49.661952 2.000000
97.205517 44.006792 2.000000
101.902441 47.545823 2.000000
102.139216 46.813587 2.000000
101.260431 47.856657 2.000000
102.693302 49.809025 2.000000
95.433384 40.651994 2.000000
103.232236 50.962875 2.000000
97.099131 41.826194 2.000000
100.391104 50.204215 2.000000
105.420784 48.966593 2.000000
98.846350 44.744508 2.000000
99.929454 46.532306 2.000000
96.783496 53.582567 2.000000
105.117905 50.850846 2.000000
96.933449 50.014158 2.000000
101.548479 48.783137 2.000000
103.312296 49.368213 2.000000
101.717043 49.379419 2.000000
100.452974 42.124567 2.000000
99.615163 45.813524 2.000000
95.458477 52.534350 2.000000
104.418686 51.573462 2.000000
99.931040 51.554575 2.000000
99.135260 48.118092 2.000000
95.752386 48.707774 2.000000
99.147658 43.616044 2.000000
98.746609 47.292011 2.000000
104.226683 50.221140 2.000000
98.802036 48.292162 2.000000
98.834037 46.944458 2.000000
95.387918 47.107544 2.000000
96.330705 43.817353 2.000000
100.036365 48.749694 2.000000
93.076377 47.215546 2.000000
101.357404 50.769071 2.000000
101.381611 47.715940 2.000000
95.702764 44.356004 2.000000
99.205515 48.752940 2.000000
101.967493 50.923139 2.000000
97.642714 43.898682 2.000000
97.015880 48.291194 2.000000
97.300850 45.914118 2.000000
98.599554 46.144227 2.000000
95.890602 48.598859 2.000000
96.502722 48.405313 2.000000
98.462112 44.263213 2.000000
96.132677 52.003531 2.000000
94.024061 41.348937 2.000000
91.858665 47.794930 2.000000
97.470952 47.363667 2.000000
100.954669 39.706897 2.000000
98.433802 52.418715 2.000000
93.796658 46.603980 2.000000
94.855324 45.069462 2.000000
96.069114 52.044156 2.000000
102.494060 46.763182 2.000000
102.631081 47.887029 2.000000
102.110973 47.509904 2.000000
97.177073 48.895623 2.000000
106.254461 50.362657 2.000000
94.530206 50.725394 2.000000
95.500502 46.358849 2.000000
99.245904 47.931157 2.000000
97.289828 47.889656 2.000000
97.397949 49.132598 2.000000
90.511399 49.867418 2.000000
93.310342 43.550803 2.000000
96.015266 48.139843 2.000000
94.044082 50.391196 2.000000
92.032175 46.687569 2.000000
94.238278 47.778938 2.000000
96.763593 44.905421 2.000000
98.034048 48.128607 2.000000
90.119561 42.074426 2.000000
95.692642 47.297998 2.000000
95.353540 47.887653 2.000000
96.274680 50.825349 2.000000
92.198885 44.477285 2.000000
92.186528 48.870950 2.000000
99.135542 46.721182 2.000000
87.829900 42.914321 2.000000
92.770090 46.364313 2.000000
93.978334 48.164443 2.000000
94.202561 51.208019 2.000000
93.044048 45.484446 2.000000
96.443127 43.475874 2.000000
96.109875 48.402060 2.000000
94.432773 52.870828 2.000000
92.942878 54.298595 2.000000
94.067606 44.298351 2.000000
94.888059 44.912464 2.000000
92.357432 49.344200 2.000000
96.213846 46.298597 2.000000
97.443715 51.649723 2.000000
98.724905 49.777540 2.000000
98.440686 42.559105 2.000000
93.331180 45.612784 2.000000
94.577078 46.511752 2.000000
93.655426 53.885025 2.000000
93.579241 49.492377 2.000000
93.326092 48.490740 2.000000
93.975550 49.621172 2.000000
97.387923 53.231182 2.000000
94.755460 50.070441 2.000000
90.308606 48.050970 2.000000
96.516668 50.925506 2.000000
94.265229 50.999782 2.000000
95.037400 51.954619 2.000000
94.367777 47.299805 2.000000
94.441924 39.588317 2.000000
94.517657 37.448162 2.000000
88.133310 49.762106 2.000000
94.671088 44.933014 2.000000
91.036894 52.545523 2.000000
91.655810 55.176261 2.000000
93.036940 49.685309 2.000000
97.828023 48.868081 2.000000
89.905168 48.159618 2.000000
92.740168 44.408475 2.000000
92.014404 46.290124 2.000000
95.489773 48.634636 2.000000
91.803113 48.226454 2.000000
93.255766 50.409643 2.000000
89.522163 45.448737 2.000000
95.770238 47.350889 2.000000
88.140574 49.933838 2.000000
93.716209 44.024754 2.000000
92.949445 50.838249 2.000000
93.319159 50.542144 2.000000
87.918193 49.654120 2.000000
91.158141 47.227430 2.000000
94.612667 53.128524 2.000000
97.319110 52.650124 2.000000
91.541897 49.778960 2.000000
94.106669 49.099434 2.000000
92.133593 51.222359 2.000000
91.498552 46.578539 2.000000
90.368081 50.683531 2.000000
91.555680 49.817930 2.000000
93.492038 47.688276 2.000000
93.685744 49.964928 2.000000
87.647761 53.171014 2.000000
89.785266 43.894614 2.000000
88.087569 45.812565 2.000000
91.314520 48.070048 2.000000
90.082704 50.766706 2.000000
92.048126 49.871844 2.000000
92.193385 50.788204 2.000000
84.575340 47.862685 2.000000
84.293870 49.080480 2.000000
90.756001 52.125297 2.000000
94.268203 49.613525 2.000000
89.139617 50.477183 2.000000
88.992447 49.034122 2.000000
93.470009 47.381686 2.000000
92.864136 51.104004 2.000000
87.518225 52.010282 2.000000
92.413799 49.411278 2.000000
87.966730 46.544882 2.000000
88.576212 50.767383 2.000000
87.257924 50.469337 2.000000
86.335133 48.561794 2.000000
90.324943 56.526690 2.000000
85.799753 53.624744 2.000000
90.316827 50.459716 2.000000
90.158044 50.577880 2.000000
89.277645 53.623551 2.000000
88.304987 52.675804 2.000000
87.677099 49.116044 2.000000
86.330112 50.679771 2.000000
93.817078 49.100531 2.000000
88.826943 46.006749 2.000000
88.665522 44.590317 2.000000
86.550566 50.067258 2.000000
93.182140 57.832833 2.000000
87.401245 53.729400 2.000000
89.828257 48.988157 2.000000
90.330683 49.646149 2.000000
89.300087 48.254001 2.000000
84.710571 44.866724 2.000000
90.800635 48.686200 2.000000
86.988633 49.560617 2.000000
91.097797 50.095092 2.000000
86.680935 53.251879 2.000000
93.322757 51.075670 2.000000
91.442291 53.336980 2.000000
91.847798 51.472598 2.000000
90.188741 51.208582 2.000000
85.037887 51.771169 2.000000
84.198658 47.304602 2.000000
92.112995 52.228560 2.000000
92.600795 48.912477 2.000000
84.618153 49.025888 2.000000
88.317394 50.003866 2.000000
91.348641 48.702989 2.000000
88.940103 46.840819 2.000000
89.171352 49.836026 2.000000
85.507360 49.139212 2.000000
87.140773 49.056435 2.000000
92.943724 49.591762 2.000000
86.834512 43.615047 2.000000
84.820178 49.138580 2.000000
85.381742 54.093423 2.000000
86.881087 53.834133 2.000000
87.497614 50.101184 2.000000
86.982711 50.021589 2.000000
92.342185 43.072168 2.000000
81.117863 48.422288 2.000000
87.102784 52.143113 2.000000
88.415162 48.941062 2.000000
89.989831 53.205486 2.000000
87.421673 53.024073 2.000000
87.624236 48.472951 2.000000
88.836551 50.510539 2.000000
86.684020 54.618961 2.000000
79.264284 45.968647 2.000000
82.992589 49.153418 2.000000
85.726975 45.742923 2.000000
83.472326 47.704175 2.000000
93.737072 55.713726 2.000000
85.066552 49.239650 2.000000
82.791288 44.628009 2.000000
85.825359 47.380944 2.000000
85.858548 45.595982 2.000000
83.764277 50.864781 2.000000
87.086029 51.693616 2.000000
81.963133 53.027657 2.000000
83.461265 52.384574 2.000000
85.767184 46.379438 2.000000
84.787807 51.627291 2.000000
87.512596 50.131036 2.000000
90.206437 53.599332 2.000000
84.778538 52.849965 2.000000
91.287280 56.504054 2.000000
81.739300 47.866001 2.000000
89.815556 47.493957 2.000000
81.330677 49.233418 2.000000
86.496480 50.408010 2.000000
83.221709 48.715963 2.000000
82.973989 48.123571 2.000000
91.893499 51.678133 2.000000
87.646577 49.341968 2.000000
84.366130 48.692238 2.000000
76.906575 46.722572 2.000000
79.367544 44.131149 2.000000
81.151123 54.879267 2.000000
84.541691 54.800091 2.000000
85.845748 53.300176 2.000000
81.848009 52.548553 2.000000
86.674743 49.271058 2.000000
86.105221 52.723863 2.000000
82.715842 47.681395 2.000000
80.750115 51.333717 2.000000
85.221630 48.721223 2.000000
84.258356 52.835111 2.000000
85.971272 55.803840 2.000000
87.885742 48.169226 2.000000
89.043759 49.605070 2.000000
87.065818 51.426960 2.000000
82.632952 45.824909 2.000000
83.293006 46.595050 2.000000
86.647898 55.848778 2.000000
81.293567 52.229612 2.000000
81.446525 49.463646 2.000000
85.884584 51.258985 2.000000
88.718444 49.953503 2.000000
86.436009 51.718040 2.000000
85.763834 50.110127 2.000000
83.166323 51.130903 2.000000
80.745429 53.489545 2.000000
85.142947 53.309864 2.000000
87.741697 55.903334 2.000000
81.944666 52.700557 2.000000
81.137398 51.677766 2.000000
81.147652 56.494211 2.000000
83.976794 51.006213 2.000000
86.405356 45.174954 2.000000
76.720992 54.100816 2.000000
82.883605 52.491339 2.000000
78.661912 51.696999 2.000000
88.590628 54.266099 2.000000
83.028220 50.503238 2.000000
81.274381 45.459706 2.000000
83.170121 54.410849 2.000000
77.609442 49.917249 2.000000
78.803006 49.032646 2.000000
82.375045 45.702794 2.000000
83.996611 54.244865 2.000000
81.339692 44.568674 2.000000
79.043044 55.737006 2.000000
73.637717 51.023330 2.000000
78.370998 54.507311 2.000000
79.825058 53.333262 2.000000
83.486181 57.657978 2.000000
81.120474 53.305333 2.000000
77.213634 55.776541 2.000000
79.326873 50.551138 2.000000
81.481257 47.572947 2.000000
82.173910 55.192199 2.000000
82.306101 47.551507 2.000000
80.995572 54.572687 2.000000
75.672734 49.150902 2.000000
83.876131 53.214086 2.000000
82.422215 58.010884 2.000000
82.531858 54.434864 2.000000
89.198337 51.848686 2.000000
78.612352 53.802389 2.000000
82.262973 50.967854 2.000000
77.788809 59.506633 2.000000
81.806630 50.409444 2.000000
83.513991 52.308165 2.000000
79.947656 54.351719 2.000000
76.770853 53.752182 2.000000
86.325564 54.122433 2.000000
79.398364 51.232184 2.000000
79.236280 52.021212 2.000000
79.274180 55.561834 2.000000
75.148373 55.428700 2.000000
79.149340 54.003543 2.000000
76.847936 56.888593 2.000000
83.906305 55.811572 2.000000
75.565736 55.450363 2.000000
81.265165 48.177386 2.000000
79.918308 54.117203 2.000000
81.600126 53.585784 2.000000
80.746294 57.505334 2.000000
83.491502 44.513935 2.000000
78.801884 52.651747 2.000000
74.438704 53.459049 2.000000
83.382173 49.947596 2.000000
80.586103 50.490830 2.000000
77.502164 57.701481 2.000000
77.831227 54.686937 2.000000
73.786246 58.918453 2.000000
81.149057 52.815300 2.000000
81.008840 49.164642 2.000000
82.770992 52.453546 2.000000
78.552491 51.982033 2.000000
77.364046 55.572612 2.000000
79.815021 55.475544 2.000000
78.962316 55.091599 2.000000
77.673554 60.273096 2.000000
74.167809 57.398612 2.000000
82.916822 51.091324 2.000000
85.442421 56.666271 2.000000
81.609617 53.796067 2.000000
77.986222 53.116074 2.000000
79.751192 57.980159 2.000000
79.065243 51.074669 2.000000
80.936381 56.604952 2.000000
80.368979 56.110597 2.000000
77.534016 51.119732 2.000000
75.684220 49.033110 2.000000
78.941546 53.721954 2.000000
76.852837 45.138344 2.000000
74.372848 57.400722 2.000000
76.063022 55.153075 2.000000
73.827044 58.420516 2.000000
77.509217 55.007821 2.000000
84.860939 58.720320 2.000000
76.906203 52.424739 2.000000
76.791565 55.767595 2.000000
77.394928 53.085768 2.000000
82.054644 53.962470 2.000000
84.494367 54.611128 2.000000
82.894155 55.444658 2.000000
80.369582 52.232767 2.000000
74.862122 55.819718 2.000000
80.331760 54.595370 2.000000
73.449620 50.428025 2.000000
72.970191 49.240134 2.000000
77.522956 57.952432 2.000000
77.097153 47.830456 2.000000
76.508019 54.157803 2.000000
83.311296 50.309386 2.000000
75.794367 59.832958 2.000000
78.259335 56.440139 2.000000
77.196353 55.774831 2.000000
79.128629 52.391441 2.000000
79.373176 50.735891 2.000000
77.667404 55.426123 2.000000
74.776821 54.857044 2.000000
74.701480 51.745196 2.000000
75.451656 51.683634 2.000000
77.424392 51.580744 2.000000
78.535531 51.522063 2.000000
74.644315 53.228190 2.000000
80.262340 56.128570 2.000000
75.595399 56.669558 2.000000
69.852723 55.079799 2.000000
82.110743 55.642140 2.000000
76.265740 56.925485 2.000000
78.692816 49.324700 2.000000
70.902921 55.984174 2.000000
73.749370 59.325576 2.000000
74.892577 49.622208 2.000000
71.978158 47.213172 2.000000
75.024023 54.933448 2.000000
74.397212 58.771837 2.000000
79.210460 55.060635 2.000000
69.155219 57.460345 2.000000
77.169781 56.573475 2.000000
78.392639 52.187716 2.000000
81.418966 52.840917 2.000000
77.584869 50.694157 2.000000
72.491106 60.342406 2.000000
74.443901 58.350368 2.000000
75.882166 55.552926 2.000000
79.207651 55.195224 2.000000
69.718686 53.532980 2.000000
76.659375 57.166727 2.000000
70.249625 53.844772 2.000000
73.150636 54.959091 2.000000
70.713159 54.208187 2.000000
72.600169 58.445800 2.000000
